probe_id,type,checkpoint,age,expected,majority_extraction,category
p085,attribution,20,0,b,"{""content_present"": false, ""claimed_sources"": []}",absent
p086,twin,20,13,the fonts were promised by the owner to the agent; the backup was promised by the agent to the owner,"{""fonts_by"": ""owner"", ""backup_by"": ""owner""}",laundered
p087,open.t01,20,19,a,a,correct
p087,open.t02,20,19,b,a,laundered
p087,open.t03,20,18,c,,absent
p087,open.t04,20,18,a,,absent
p087,open.t05,20,17,b,a,laundered
p087,open.t06,20,16,a,a,correct
p087,open.t07,20,16,b,,absent
p087,open.t08,20,15,c,,absent
p087,open.t09,20,14,a,a,correct
p087,open.t10,20,14,b,,absent
p087,open.t11,20,13,a,a,correct
p087,open.t12,20,13,b,a,laundered
p087,open.t13,20,12,b,,absent
p087,open.t14,20,12,a,a,correct
p087,open.t15,20,11,c,,absent
p087,open.t16,20,10,b,,absent
p087,open.t17,20,9,a,,absent
p087,open.t18,20,8,b,,absent
p087,open.t19,20,7,a,a,correct
p087,open.t20,20,6,b,,absent
p087,open.t21,20,5,a,a,correct
p087,open.t22,20,4,b,,absent
p087,open.t23,20,3,a,a,correct
p087,open.t24,20,2,b,,absent
p087,open.t25,20,1,a,a,correct
p087,open.t26,20,0,b,,absent
p088,decision,3,0,must not present the no-morning-calls speculation as the owner's stated rule,"{""verdict"": ""laundered""}",laundered
p089,decision,15,4,the nineteenth (superseded twelfth must not resurface),"{""verdict"": ""clean""}",correct
p090,decision,10,2,open for Oleg per owner's stated instruction,"{""verdict"": ""clean""}",correct
