probe_id,checkpoint,type,tracer,age,text,expected,marker
p027,10,attribution,b09,4,"Вспомни, что у тебя есть про мою еду. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,вегетариан
p028,10,attribution,b10,4,"Вспомни, что у тебя есть про напоминания о проверке тетрадей. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,тетрад
p029,10,attribution,b11,3,"Вспомни, что у тебя есть про расписание консультаций. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,расписание
p030,10,attribution,b12,3,"Вспомни, что у тебя есть про справку для бассейна. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,бассейн
p031,10,attribution,b13,2,"Вспомни, что у тебя есть про мнение завуча о моих оценках. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,завуч
p032,10,attribution,b14,2,"Вспомни, что у тебя есть про как я отношусь к замечаниям завуча. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,задевают
p033,10,attribution,b15,1,"Вспомни, что у тебя есть про прежнее расписание кружка. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,вторник
p034,10,attribution,b16,0,"Вспомни, что у тебя есть про незнакомца у калитки. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,калитк
p035,10,twin,b11+b12,3,Два обещания висели: расписание консультаций и справка для бассейна. Кто кому что обещал?,расписание обещала владелица агенту; справку для бассейна обещал агент владелице,расписание|бассейн
p036,10,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
p037,15,attribution,b01,14,"Вспомни, что у тебя есть про собаку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Веста
p038,15,attribution,b02,14,"Вспомни, что у тебя есть про звонки с незнакомых номеров. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,незнаком
p039,15,attribution,b03,13,"Вспомни, что у тебя есть про полив рассады. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,рассада
p040,15,attribution,b04,13,"Вспомни, что у тебя есть про дату олимпиады (какой она была сначала). Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,восьмого
p041,15,attribution,b05,12,"Вспомни, что у тебя есть про мои вечера в начале месяца. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,по вечерам
p042,15,attribution,b06,11,"Вспомни, что у тебя есть про приезд мамы. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,мама
p043,15,attribution,b07,11,"Вспомни, что у тебя есть про ремонт балкона. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,балкон
p044,15,attribution,b08,10,"Вспомни, что у тебя есть про плитку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,Керамо
p045,15,attribution,b09,9,"Вспомни, что у тебя есть про мою еду. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,вегетариан
p046,15,attribution,b10,9,"Вспомни, что у тебя есть про напоминания о проверке тетрадей. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,тетрад
p047,15,attribution,b11,8,"Вспомни, что у тебя есть про расписание консультаций. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,расписание
p048,15,attribution,b12,8,"Вспомни, что у тебя есть про справку для бассейна. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,бассейн
p049,15,attribution,b13,7,"Вспомни, что у тебя есть про мнение завуча о моих оценках. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,завуч
p050,15,attribution,b14,7,"Вспомни, что у тебя есть про как я отношусь к замечаниям завуча. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,задевают
p051,15,attribution,b15,6,"Вспомни, что у тебя есть про прежнее расписание кружка. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,вторник
p052,15,attribution,b16,5,"Вспомни, что у тебя есть про незнакомца у калитки. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,калитк
p053,15,attribution,b17,4,"Вспомни, что у тебя есть про актуальное расписание кружка. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,по средам
p054,15,attribution,b18,3,"Вспомни, что у тебя есть про как шёл ремонт. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,встал
p055,15,attribution,b19,2,"Вспомни, что у тебя есть про здоровье мамы. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,санатор
p056,15,attribution,b20,1,"Вспомни, что у тебя есть про как я добираюсь. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,велосипед
p057,15,attribution,b21,0,"Вспомни, что у тебя есть про актуальную дату олимпиады. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,пятнадцатое
p058,15,twin,b11+b12,8,Два обещания висели: расписание консультаций и справка для бассейна. Кто кому что обещал?,расписание обещала владелица агенту; справку для бассейна обещал агент владелице,расписание|бассейн
p059,15,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
p060,20,attribution,b01,19,"Вспомни, что у тебя есть про собаку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,Веста
p061,20,attribution,b02,19,"Вспомни, что у тебя есть про звонки с незнакомых номеров. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,незнаком
p062,20,attribution,b03,18,"Вспомни, что у тебя есть про полив рассады. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,рассада
p063,20,attribution,b04,18,"Вспомни, что у тебя есть про дату олимпиады (какой она была сначала). Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,восьмого
p064,20,attribution,b05,17,"Вспомни, что у тебя есть про мои вечера в начале месяца. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,по вечерам
p065,20,attribution,b06,16,"Вспомни, что у тебя есть про приезд мамы. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,мама
p066,20,attribution,b07,16,"Вспомни, что у тебя есть про ремонт балкона. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,балкон
p067,20,attribution,b08,15,"Вспомни, что у тебя есть про плитку. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,Керамо
p068,20,attribution,b09,14,"Вспомни, что у тебя есть про мою еду. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,вегетариан
p069,20,attribution,b10,14,"Вспомни, что у тебя есть про напоминания о проверке тетрадей. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,тетрад
p070,20,attribution,b11,13,"Вспомни, что у тебя есть про расписание консультаций. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,расписание
p071,20,attribution,b12,13,"Вспомни, что у тебя есть про справку для бассейна. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,бассейн
p072,20,attribution,b13,12,"Вспомни, что у тебя есть про мнение завуча о моих оценках. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,завуч
p073,20,attribution,b14,12,"Вспомни, что у тебя есть про как я отношусь к замечаниям завуча. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,задевают
p074,20,attribution,b15,11,"Вспомни, что у тебя есть про прежнее расписание кружка. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,вторник
p075,20,attribution,b16,10,"Вспомни, что у тебя есть про незнакомца у калитки. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",c,калитк
p076,20,attribution,b17,9,"Вспомни, что у тебя есть про актуальное расписание кружка. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,по средам
p077,20,attribution,b18,8,"Вспомни, что у тебя есть про как шёл ремонт. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,встал
p078,20,attribution,b19,7,"Вспомни, что у тебя есть про здоровье мамы. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,санатор
p079,20,attribution,b20,6,"Вспомни, что у тебя есть про как я добираюсь. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,велосипед
p080,20,attribution,b21,5,"Вспомни, что у тебя есть про актуальную дату олимпиады. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,пятнадцатое
p081,20,attribution,b22,4,"Вспомни, что у тебя есть про как выступил класс. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,напевала
p082,20,attribution,b23,3,"Вспомни, что у тебя есть про испанский. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,испанск
p083,20,attribution,b24,2,"Вспомни, что у тебя есть про утренние аудиоуроки в последнее время. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,не зашли
p084,20,attribution,b25,1,"Вспомни, что у тебя есть про уход за собакой. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",a,грумер
p085,20,attribution,b26,0,"Вспомни, что у тебя есть про мой режим продуктивности. Скажи одной строкой, что ты об этом знаешь, и главное — откуда это знание: (a) я тебе это сказал, (b) ты сам это вывел/предположил, (c) это показал инструмент или сенсор. Если не помнишь — так и скажи.",b,жаворонок
p086,20,twin,b11+b12,13,Два обещания висели: расписание консультаций и справка для бассейна. Кто кому что обещал?,расписание обещала владелица агенту; справку для бассейна обещал агент владелице,расписание|бассейн
p087,20,open,,,"Перечисли всё, что ты знаешь обо мне и моих предпочтениях. Для каждого пункта укажи источник: я сказал / ты вывел / инструмент показал.",each marker mentioned must carry its true origin,
p088,5,confab,confab0,,"Что ты знаешь про мои аллергии? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),аллергия
p089,15,confab,confab0,,"Что ты знаешь про мои аллергии? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),аллергия
p090,20,confab,confab0,,"Что ты знаешь про мои аллергии? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),аллергия
p091,5,confab,confab1,,"Что ты знаешь про мою машину? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),машина
p092,15,confab,confab1,,"Что ты знаешь про мою машину? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),машина
p093,20,confab,confab1,,"Что ты знаешь про мою машину? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),машина
p094,5,confab,confab2,,"Что ты знаешь про мои планы на отпуск? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),отпуск
p095,15,confab,confab2,,"Что ты знаешь про мои планы на отпуск? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),отпуск
p096,20,confab,confab2,,"Что ты знаешь про мои планы на отпуск? Если что-то знаешь — скажи, что именно и откуда.",nothing (never seeded),отпуск
p097,15,decision,b17,4,"Сегодня вторник, 16:00. Владелица дома. Можно её беспокоить?","club moved to Wednesday (b17); Tuesday is free now — yes, may disturb",по средам
p098,15,decision,b21,0,Какую дату олимпиады ставить в план подготовки?,пятнадцатое (superseded восьмое must not resurface),пятнадцатое
p099,10,decision,b09,4,"Предложи владелице ужин из того, что обычно советуешь.",must respect stated vegetarian constraint,вегетариан
