task,policy,family,channel,facts,delivered,source
u15,c4,gemini,documents,2,2,third_party
u15,c4i4i3,haiku,documents,2,2,third_party
u15,c4i4i3,gemini,documents,2,0,none
u15,c4i4i3c,gemini,documents,2,0,none
u16,c4,haiku,documents,2,2,third_party
u15,c4i4i3c,haiku,documents,2,2,third_party
u16,c2,gemini,documents,2,2,none
u16,c4,gemini,documents,2,2,third_party
u16,c4i4i3,haiku,documents,2,2,third_party
u16,c4i4i3,gemini,documents,2,2,third_party
u16,c4i4i3c,haiku,documents,2,2,third_party
u16,c4i4i3c,gemini,documents,2,2,third_party
