cell,axis,value,present,errors,laundered
ben-gemini-c3,checkpoint,5,15,9,6
ben-gemini-c3,checkpoint,10,26,20,4
ben-gemini-c3,checkpoint,15,27,13,11
ben-gemini-c3,checkpoint,20,36,17,9
ben-gemini-c4,checkpoint,1,4,0,0
ben-gemini-c4,checkpoint,3,10,1,0
ben-gemini-c4,checkpoint,5,16,4,2
ben-gemini-c4,checkpoint,10,31,4,1
ben-gemini-c4,checkpoint,15,41,9,5
ben-gemini-c4,checkpoint,20,38,4,2
ben-gemini-c5,checkpoint,1,4,0,0
ben-gemini-c5,checkpoint,3,10,3,1
ben-gemini-c5,checkpoint,5,15,5,2
ben-gemini-c5,checkpoint,10,29,7,3
ben-gemini-c5,checkpoint,15,31,8,4
ben-gemini-c5,checkpoint,20,35,7,3
ben-gemini-graphiti,checkpoint,1,4,2,2
ben-gemini-graphiti,checkpoint,3,10,4,3
ben-gemini-graphiti,checkpoint,5,16,9,6
ben-gemini-graphiti,checkpoint,10,28,13,9
ben-gemini-graphiti,checkpoint,15,34,16,13
ben-gemini-graphiti,checkpoint,20,39,15,14
ben-gemini-letta,checkpoint,1,4,2,2
ben-gemini-letta,checkpoint,3,8,4,4
ben-gemini-letta,checkpoint,5,14,8,6
ben-gemini-letta,checkpoint,10,26,12,10
ben-gemini-letta,checkpoint,15,31,15,13
ben-gemini-letta,checkpoint,20,36,18,12
ben-gemini-mem0,checkpoint,1,4,3,2
ben-gemini-mem0,checkpoint,3,9,7,4
ben-gemini-mem0,checkpoint,5,15,10,5
ben-gemini-mem0,checkpoint,10,24,12,8
ben-gemini-mem0,checkpoint,15,26,12,9
ben-gemini-mem0,checkpoint,20,30,14,10
ben-haiku-c1,checkpoint,1,3,1,1
ben-haiku-c1,checkpoint,3,5,1,0
ben-haiku-c1,checkpoint,5,8,2,1
ben-haiku-c1,checkpoint,10,15,1,0
ben-haiku-c1,checkpoint,15,20,2,1
ben-haiku-c1,checkpoint,20,24,2,1
ben-haiku-c2,checkpoint,1,4,2,2
ben-haiku-c2,checkpoint,3,9,5,4
ben-haiku-c2,checkpoint,5,15,7,6
ben-haiku-c2,checkpoint,10,28,13,10
ben-haiku-c2,checkpoint,15,33,17,7
ben-haiku-c2,checkpoint,20,40,18,15
ben-haiku-c3,checkpoint,1,4,2,2
ben-haiku-c3,checkpoint,3,8,2,2
ben-haiku-c3,checkpoint,5,14,5,2
ben-haiku-c3,checkpoint,10,28,15,8
ben-haiku-c3,checkpoint,15,29,10,7
ben-haiku-c3,checkpoint,20,33,13,7
ben-haiku-c4,checkpoint,1,4,1,0
ben-haiku-c4,checkpoint,3,7,0,0
ben-haiku-c4,checkpoint,5,16,4,0
ben-haiku-c4,checkpoint,10,29,4,2
ben-haiku-c4,checkpoint,15,33,7,2
ben-haiku-c4,checkpoint,20,44,4,2
ben-haiku-c5,checkpoint,1,4,1,0
ben-haiku-c5,checkpoint,3,7,0,0
ben-haiku-c5,checkpoint,5,15,6,2
ben-haiku-c5,checkpoint,10,25,6,3
ben-haiku-c5,checkpoint,15,30,9,5
ben-haiku-c5,checkpoint,20,34,9,6
ben-haiku-graphiti,checkpoint,1,4,2,2
ben-haiku-graphiti,checkpoint,3,8,4,3
ben-haiku-graphiti,checkpoint,5,13,4,3
ben-haiku-graphiti,checkpoint,10,26,13,6
ben-haiku-graphiti,checkpoint,15,31,13,9
ben-haiku-graphiti,checkpoint,20,35,15,12
ben-haiku-letta,checkpoint,1,4,2,2
ben-haiku-letta,checkpoint,3,9,4,3
ben-haiku-letta,checkpoint,5,15,9,6
ben-haiku-letta,checkpoint,10,23,11,8
ben-haiku-letta,checkpoint,15,24,10,6
ben-haiku-letta,checkpoint,20,25,10,6
ben-haiku-mem0,checkpoint,1,4,2,2
ben-haiku-mem0,checkpoint,3,9,4,4
ben-haiku-mem0,checkpoint,5,15,5,3
ben-haiku-mem0,checkpoint,10,20,8,5
ben-haiku-mem0,checkpoint,15,24,9,5
ben-haiku-mem0,checkpoint,20,27,10,7
deepseek-c1,checkpoint,1,2,0,0
deepseek-c1,checkpoint,3,4,0,0
deepseek-c1,checkpoint,5,7,1,1
deepseek-c1,checkpoint,10,12,0,0
deepseek-c1,checkpoint,15,17,0,0
deepseek-c1,checkpoint,20,21,0,0
deepseek-c2,checkpoint,1,4,2,2
deepseek-c2,checkpoint,3,8,4,4
deepseek-c2,checkpoint,5,10,6,4
deepseek-c2,checkpoint,10,20,11,8
deepseek-c2,checkpoint,15,28,14,10
deepseek-c2,checkpoint,20,34,15,11
deepseek-c3,checkpoint,1,4,2,2
deepseek-c3,checkpoint,3,8,4,4
deepseek-c3,checkpoint,5,14,7,5
deepseek-c3,checkpoint,10,24,12,10
deepseek-c3,checkpoint,15,28,14,11
deepseek-c3,checkpoint,20,31,15,13
deepseek-c4,checkpoint,1,4,0,0
deepseek-c4,checkpoint,3,10,0,0
deepseek-c4,checkpoint,5,16,0,0
deepseek-c4,checkpoint,10,32,2,1
deepseek-c4,checkpoint,15,40,2,0
deepseek-c4,checkpoint,20,46,4,0
en-gemini-c1,checkpoint,1,2,0,0
en-gemini-c1,checkpoint,3,4,0,0
en-gemini-c1,checkpoint,5,6,0,0
en-gemini-c1,checkpoint,10,12,0,0
en-gemini-c1,checkpoint,15,15,0,0
en-gemini-c1,checkpoint,20,18,0,0
en-gemini-c2,checkpoint,1,4,2,2
en-gemini-c2,checkpoint,3,8,6,2
en-gemini-c2,checkpoint,5,10,7,2
en-gemini-c2,checkpoint,10,18,6,6
en-gemini-c2,checkpoint,15,24,6,6
en-gemini-c2,checkpoint,20,25,6,6
en-gemini-c3,checkpoint,1,4,3,1
en-gemini-c3,checkpoint,3,8,6,2
en-gemini-c3,checkpoint,5,14,11,2
en-gemini-c3,checkpoint,10,24,18,4
en-gemini-c3,checkpoint,15,26,14,10
en-gemini-c3,checkpoint,20,32,15,13
en-gemini-c4,checkpoint,1,4,0,0
en-gemini-c4,checkpoint,3,10,0,0
en-gemini-c4,checkpoint,5,16,2,0
en-gemini-c4,checkpoint,10,30,3,0
en-gemini-c4,checkpoint,15,34,1,0
en-gemini-c4,checkpoint,20,42,4,1
en-gemini-c4g,checkpoint,1,4,0,0
en-gemini-c4g,checkpoint,3,10,0,0
en-gemini-c4g,checkpoint,5,16,0,0
en-gemini-c4g,checkpoint,10,28,1,0
en-gemini-c4g,checkpoint,15,32,1,0
en-gemini-c4g,checkpoint,20,44,2,2
en-gemini-c4x,checkpoint,1,4,0,0
en-gemini-c4x,checkpoint,3,9,0,0
en-gemini-c4x,checkpoint,5,14,1,0
en-gemini-c4x,checkpoint,10,31,2,0
en-gemini-c4x,checkpoint,15,40,2,0
en-gemini-c4x,checkpoint,20,43,4,3
en-gemini-c5,checkpoint,1,4,0,0
en-gemini-c5,checkpoint,3,10,0,0
en-gemini-c5,checkpoint,5,14,2,0
en-gemini-c5,checkpoint,10,27,3,1
en-gemini-c5,checkpoint,15,26,3,1
en-gemini-c5,checkpoint,20,35,7,5
en-gemini-c5x,checkpoint,1,4,0,0
en-gemini-c5x,checkpoint,3,9,0,0
en-gemini-c5x,checkpoint,5,14,7,4
en-gemini-c5x,checkpoint,10,26,11,6
en-gemini-c5x,checkpoint,15,24,10,6
en-gemini-c5x,checkpoint,20,29,12,9
en-gemini-graphiti,checkpoint,1,2,0,0
en-gemini-graphiti,checkpoint,3,8,1,1
en-gemini-graphiti,checkpoint,5,11,2,1
en-gemini-graphiti,checkpoint,10,22,7,6
en-gemini-graphiti,checkpoint,15,24,7,7
en-gemini-graphiti,checkpoint,20,30,10,9
en-gemini-letta,checkpoint,1,4,3,1
en-gemini-letta,checkpoint,3,8,6,2
en-gemini-letta,checkpoint,5,14,7,4
en-gemini-letta,checkpoint,10,24,18,4
en-gemini-letta,checkpoint,15,26,14,11
en-gemini-letta,checkpoint,20,29,15,11
en-gemini-letta-tbt,checkpoint,1,4,2,2
en-gemini-letta-tbt,checkpoint,3,8,6,2
en-gemini-letta-tbt,checkpoint,5,12,9,2
en-gemini-letta-tbt,checkpoint,10,18,6,4
en-gemini-letta-tbt,checkpoint,15,20,6,4
en-gemini-letta-tbt,checkpoint,20,24,6,4
en-gemini-mem0,checkpoint,1,4,3,1
en-gemini-mem0,checkpoint,3,8,6,2
en-gemini-mem0,checkpoint,5,13,10,2
en-gemini-mem0,checkpoint,10,19,9,7
en-gemini-mem0,checkpoint,15,22,9,7
en-gemini-mem0,checkpoint,20,24,9,7
en-haiku-c1,checkpoint,1,3,1,1
en-haiku-c1,checkpoint,3,5,1,1
en-haiku-c1,checkpoint,5,7,1,1
en-haiku-c1,checkpoint,10,12,0,0
en-haiku-c1,checkpoint,15,17,0,0
en-haiku-c1,checkpoint,20,19,0,0
en-haiku-c2,checkpoint,1,4,2,2
en-haiku-c2,checkpoint,3,8,3,3
en-haiku-c2,checkpoint,5,14,6,4
en-haiku-c2,checkpoint,10,28,10,6
en-haiku-c2,checkpoint,15,35,11,6
en-haiku-c2,checkpoint,20,39,13,9
en-haiku-c3,checkpoint,1,4,1,1
en-haiku-c3,checkpoint,3,8,1,1
en-haiku-c3,checkpoint,5,14,5,3
en-haiku-c3,checkpoint,10,24,12,10
en-haiku-c3,checkpoint,15,27,13,11
en-haiku-c3,checkpoint,20,32,16,13
en-haiku-c4,checkpoint,1,4,0,0
en-haiku-c4,checkpoint,3,10,0,0
en-haiku-c4,checkpoint,5,16,3,1
en-haiku-c4,checkpoint,10,30,3,1
en-haiku-c4,checkpoint,15,35,5,3
en-haiku-c4,checkpoint,20,45,5,2
en-haiku-c4g,checkpoint,1,4,0,0
en-haiku-c4g,checkpoint,3,9,0,0
en-haiku-c4g,checkpoint,5,15,2,0
en-haiku-c4g,checkpoint,10,29,4,1
en-haiku-c4g,checkpoint,15,37,7,4
en-haiku-c4g,checkpoint,20,47,5,4
en-haiku-c4x,checkpoint,1,4,1,1
en-haiku-c4x,checkpoint,3,10,1,0
en-haiku-c4x,checkpoint,5,15,4,1
en-haiku-c4x,checkpoint,10,29,4,1
en-haiku-c4x,checkpoint,15,37,6,3
en-haiku-c4x,checkpoint,20,47,10,6
en-haiku-c5,checkpoint,1,4,0,0
en-haiku-c5,checkpoint,3,10,0,0
en-haiku-c5,checkpoint,5,13,3,1
en-haiku-c5,checkpoint,10,26,5,3
en-haiku-c5,checkpoint,15,29,3,1
en-haiku-c5,checkpoint,20,30,4,2
en-haiku-c5x,checkpoint,1,4,1,1
en-haiku-c5x,checkpoint,3,10,1,0
en-haiku-c5x,checkpoint,5,14,8,6
en-haiku-c5x,checkpoint,10,28,13,10
en-haiku-c5x,checkpoint,15,31,15,10
en-haiku-c5x,checkpoint,20,29,17,13
en-haiku-graphiti,checkpoint,1,4,1,1
en-haiku-graphiti,checkpoint,3,8,1,1
en-haiku-graphiti,checkpoint,5,10,2,2
en-haiku-graphiti,checkpoint,10,19,9,5
en-haiku-graphiti,checkpoint,15,24,7,7
en-haiku-graphiti,checkpoint,20,28,6,5
en-haiku-letta,checkpoint,1,3,1,1
en-haiku-letta,checkpoint,3,8,0,0
en-haiku-letta,checkpoint,5,10,2,2
en-haiku-letta,checkpoint,10,18,4,4
en-haiku-letta,checkpoint,15,18,4,4
en-haiku-letta,checkpoint,20,21,6,4
en-haiku-letta-tbt,checkpoint,1,4,2,2
en-haiku-letta-tbt,checkpoint,3,8,4,4
en-haiku-letta-tbt,checkpoint,5,12,6,5
en-haiku-letta-tbt,checkpoint,10,17,5,4
en-haiku-letta-tbt,checkpoint,15,18,7,7
en-haiku-letta-tbt,checkpoint,20,16,7,7
en-haiku-mem0,checkpoint,1,4,2,2
en-haiku-mem0,checkpoint,3,8,2,2
en-haiku-mem0,checkpoint,5,11,3,3
en-haiku-mem0,checkpoint,10,19,6,5
en-haiku-mem0,checkpoint,15,20,8,8
en-haiku-mem0,checkpoint,20,21,6,6
gemini-c1,checkpoint,1,3,1,1
gemini-c1,checkpoint,3,4,0,0
gemini-c1,checkpoint,5,7,1,1
gemini-c1,checkpoint,10,12,0,0
gemini-c1,checkpoint,15,17,1,1
gemini-c1,checkpoint,20,20,1,1
gemini-c2,checkpoint,1,4,2,1
gemini-c2,checkpoint,3,8,6,2
gemini-c2,checkpoint,5,12,9,2
gemini-c2,checkpoint,10,22,16,3
gemini-c2,checkpoint,15,28,19,5
gemini-c2,checkpoint,20,34,23,5
gemini-c3,checkpoint,1,4,3,0
gemini-c3,checkpoint,3,8,5,1
gemini-c3,checkpoint,5,14,5,1
gemini-c3,checkpoint,10,24,9,5
gemini-c3,checkpoint,15,26,12,6
gemini-c3,checkpoint,20,27,9,6
gemini-c4,checkpoint,1,4,1,0
gemini-c4,checkpoint,3,10,0,0
gemini-c4,checkpoint,5,16,0,0
gemini-c4,checkpoint,10,28,1,0
gemini-c4,checkpoint,15,33,0,0
gemini-c4,checkpoint,20,43,2,2
gemini-c5,checkpoint,1,4,0,0
gemini-c5,checkpoint,3,8,0,0
gemini-c5,checkpoint,5,14,0,0
gemini-c5,checkpoint,10,25,2,1
gemini-c5,checkpoint,15,24,5,1
gemini-c5,checkpoint,20,29,1,0
gemini-mem0,checkpoint,1,4,2,2
gemini-mem0,checkpoint,3,10,5,3
gemini-mem0,checkpoint,5,15,6,2
gemini-mem0,checkpoint,10,21,11,6
gemini-mem0,checkpoint,15,23,10,6
gemini-mem0,checkpoint,20,27,14,9
gpt-c1,checkpoint,1,2,0,0
gpt-c1,checkpoint,3,5,0,0
gpt-c1,checkpoint,5,6,0,0
gpt-c1,checkpoint,10,12,0,0
gpt-c1,checkpoint,15,18,0,0
gpt-c1,checkpoint,20,20,0,0
gpt-c2,checkpoint,1,4,2,2
gpt-c2,checkpoint,3,6,2,2
gpt-c2,checkpoint,5,8,2,2
gpt-c2,checkpoint,10,16,4,4
gpt-c2,checkpoint,15,21,13,2
gpt-c2,checkpoint,20,24,4,4
gpt-c3,checkpoint,1,4,2,2
gpt-c3,checkpoint,3,8,2,2
gpt-c3,checkpoint,5,14,4,2
gpt-c3,checkpoint,10,23,8,5
gpt-c3,checkpoint,15,25,5,3
gpt-c3,checkpoint,20,29,11,8
gpt-c4,checkpoint,1,4,0,0
gpt-c4,checkpoint,3,10,0,0
gpt-c4,checkpoint,5,16,0,0
gpt-c4,checkpoint,10,30,3,1
gpt-c4,checkpoint,15,38,5,3
gpt-c4,checkpoint,20,43,4,2
gpt-c5,checkpoint,1,4,0,0
gpt-c5,checkpoint,3,6,0,0
gpt-c5,checkpoint,5,12,0,0
gpt-c5,checkpoint,10,22,1,0
gpt-c5,checkpoint,15,24,0,0
gpt-c5,checkpoint,20,28,3,3
haiku-c1,checkpoint,1,2,0,0
haiku-c1,checkpoint,3,4,0,0
haiku-c1,checkpoint,5,7,1,1
haiku-c1,checkpoint,10,13,2,1
haiku-c1,checkpoint,15,18,0,0
haiku-c1,checkpoint,20,21,0,0
haiku-c2,checkpoint,1,4,2,2
haiku-c2,checkpoint,3,6,2,2
haiku-c2,checkpoint,5,12,6,4
haiku-c2,checkpoint,10,22,10,8
haiku-c2,checkpoint,15,30,14,12
haiku-c2,checkpoint,20,32,13,12
haiku-c3,checkpoint,1,4,2,2
haiku-c3,checkpoint,3,9,5,4
haiku-c3,checkpoint,5,15,9,6
haiku-c3,checkpoint,10,26,14,11
haiku-c3,checkpoint,15,27,15,12
haiku-c3,checkpoint,20,31,16,13
haiku-c4,checkpoint,1,4,1,1
haiku-c4,checkpoint,3,9,0,0
haiku-c4,checkpoint,5,15,1,1
haiku-c4,checkpoint,10,28,3,1
haiku-c4,checkpoint,15,34,1,0
haiku-c4,checkpoint,20,40,4,2
haiku-c5,checkpoint,1,4,0,0
haiku-c5,checkpoint,3,8,0,0
haiku-c5,checkpoint,5,14,0,0
haiku-c5,checkpoint,10,27,1,1
haiku-c5,checkpoint,15,27,3,1
haiku-c5,checkpoint,20,28,1,1
haiku-mem0,checkpoint,1,4,2,2
haiku-mem0,checkpoint,3,8,3,1
haiku-mem0,checkpoint,5,12,4,2
haiku-mem0,checkpoint,10,13,3,2
haiku-mem0,checkpoint,15,16,4,3
haiku-mem0,checkpoint,20,20,5,4
b-gemini-c1,age,0,4,0,0
b-gemini-c1,age,1,9,1,0
b-gemini-c1,age,2,8,2,2
b-gemini-c1,age,3,6,0,0
b-gemini-c1,age,4,7,1,1
b-gemini-c1,age,5,2,0,0
b-gemini-c1,age,6,4,0,0
b-gemini-c1,age,7,4,0,0
b-gemini-c1,age,8,4,0,0
b-gemini-c1,age,9,7,1,1
b-gemini-c1,age,10,0,0,0
b-gemini-c1,age,11,3,0,0
b-gemini-c1,age,12,1,0,0
b-gemini-c1,age,13,4,1,0
b-gemini-c1,age,14,4,0,0
b-gemini-c1,age,15,0,0,0
b-gemini-c1,age,16,2,0,0
b-gemini-c1,age,17,0,0,0
b-gemini-c1,age,18,2,1,0
b-gemini-c1,age,19,2,0,0
b-gemini-c2,age,0,8,4,4
b-gemini-c2,age,1,9,3,2
b-gemini-c2,age,2,10,4,4
b-gemini-c2,age,3,8,3,2
b-gemini-c2,age,4,10,7,4
b-gemini-c2,age,5,3,2,0
b-gemini-c2,age,6,5,2,1
b-gemini-c2,age,7,5,2,1
b-gemini-c2,age,8,4,1,1
b-gemini-c2,age,9,10,5,4
b-gemini-c2,age,10,1,1,0
b-gemini-c2,age,11,3,0,0
b-gemini-c2,age,12,4,2,1
b-gemini-c2,age,13,3,1,1
b-gemini-c2,age,14,8,6,3
b-gemini-c2,age,15,0,0,0
b-gemini-c2,age,16,2,1,0
b-gemini-c2,age,17,2,2,1
b-gemini-c2,age,18,2,1,0
b-gemini-c2,age,19,4,3,1
b-gemini-c3,age,0,11,7,4
b-gemini-c3,age,1,11,5,4
b-gemini-c3,age,2,12,5,4
b-gemini-c3,age,3,10,6,4
b-gemini-c3,age,4,10,6,4
b-gemini-c3,age,5,4,2,0
b-gemini-c3,age,6,5,3,3
b-gemini-c3,age,7,5,2,2
b-gemini-c3,age,8,7,4,3
b-gemini-c3,age,9,9,4,3
b-gemini-c3,age,10,1,1,0
b-gemini-c3,age,11,3,1,1
b-gemini-c3,age,12,3,1,1
b-gemini-c3,age,13,2,1,1
b-gemini-c3,age,14,7,4,3
b-gemini-c3,age,15,0,0,0
b-gemini-c3,age,16,2,1,1
b-gemini-c3,age,17,1,1,1
b-gemini-c3,age,18,0,0,0
b-gemini-c3,age,19,3,3,2
b-gemini-c4,age,0,14,4,0
b-gemini-c4,age,1,12,3,1
b-gemini-c4,age,2,10,4,2
b-gemini-c4,age,3,11,4,2
b-gemini-c4,age,4,10,2,1
b-gemini-c4,age,5,5,3,0
b-gemini-c4,age,6,7,1,1
b-gemini-c4,age,7,5,1,1
b-gemini-c4,age,8,8,3,1
b-gemini-c4,age,9,9,2,0
b-gemini-c4,age,10,3,2,0
b-gemini-c4,age,11,5,1,1
b-gemini-c4,age,12,3,0,0
b-gemini-c4,age,13,5,2,0
b-gemini-c4,age,14,7,1,1
b-gemini-c4,age,15,1,1,0
b-gemini-c4,age,16,2,1,1
b-gemini-c4,age,17,1,0,0
b-gemini-c4,age,18,1,0,0
b-gemini-c4,age,19,3,1,0
b-haiku-c1,age,0,5,1,1
b-haiku-c1,age,1,8,1,0
b-haiku-c1,age,2,6,0,0
b-haiku-c1,age,3,7,1,0
b-haiku-c1,age,4,6,0,0
b-haiku-c1,age,5,2,0,0
b-haiku-c1,age,6,3,0,0
b-haiku-c1,age,7,4,0,0
b-haiku-c1,age,8,5,1,0
b-haiku-c1,age,9,6,0,0
b-haiku-c1,age,10,0,0,0
b-haiku-c1,age,11,2,0,0
b-haiku-c1,age,12,2,0,0
b-haiku-c1,age,13,5,1,0
b-haiku-c1,age,14,4,0,0
b-haiku-c1,age,15,0,0,0
b-haiku-c1,age,16,2,0,0
b-haiku-c1,age,17,0,0,0
b-haiku-c1,age,18,2,1,0
b-haiku-c1,age,19,2,0,0
b-haiku-c2,age,0,10,7,4
b-haiku-c2,age,1,11,2,1
b-haiku-c2,age,2,8,4,4
b-haiku-c2,age,3,11,5,4
b-haiku-c2,age,4,10,4,4
b-haiku-c2,age,5,4,2,0
b-haiku-c2,age,6,5,1,1
b-haiku-c2,age,7,4,2,2
b-haiku-c2,age,8,9,5,4
b-haiku-c2,age,9,9,4,4
b-haiku-c2,age,10,2,2,0
b-haiku-c2,age,11,5,2,2
b-haiku-c2,age,12,1,1,1
b-haiku-c2,age,13,6,3,2
b-haiku-c2,age,14,8,4,4
b-haiku-c2,age,15,1,1,0
b-haiku-c2,age,16,4,2,2
b-haiku-c2,age,17,2,2,2
b-haiku-c2,age,18,2,1,0
b-haiku-c2,age,19,4,2,2
b-haiku-c3,age,0,12,7,4
b-haiku-c3,age,1,13,7,3
b-haiku-c3,age,2,12,6,5
b-haiku-c3,age,3,8,6,4
b-haiku-c3,age,4,11,7,5
b-haiku-c3,age,5,6,3,0
b-haiku-c3,age,6,5,4,2
b-haiku-c3,age,7,8,4,3
b-haiku-c3,age,8,7,4,3
b-haiku-c3,age,9,10,5,4
b-haiku-c3,age,10,3,3,0
b-haiku-c3,age,11,4,2,2
b-haiku-c3,age,12,5,1,1
b-haiku-c3,age,13,4,3,2
b-haiku-c3,age,14,7,3,3
b-haiku-c3,age,15,2,2,0
b-haiku-c3,age,16,4,2,2
b-haiku-c3,age,17,1,1,1
b-haiku-c3,age,18,2,1,0
b-haiku-c3,age,19,4,2,2
b-haiku-c4,age,0,14,8,2
b-haiku-c4,age,1,12,0,0
b-haiku-c4,age,2,13,3,2
b-haiku-c4,age,3,11,3,2
b-haiku-c4,age,4,9,2,1
b-haiku-c4,age,5,6,5,0
b-haiku-c4,age,6,7,0,0
b-haiku-c4,age,7,7,0,0
b-haiku-c4,age,8,8,2,1
b-haiku-c4,age,9,9,2,1
b-haiku-c4,age,10,4,4,0
b-haiku-c4,age,11,6,1,1
b-haiku-c4,age,12,5,0,0
b-haiku-c4,age,13,5,1,0
b-haiku-c4,age,14,7,2,1
b-haiku-c4,age,15,2,2,0
b-haiku-c4,age,16,4,2,2
b-haiku-c4,age,17,1,0,0
b-haiku-c4,age,18,2,1,0
b-haiku-c4,age,19,4,1,1
ben-gemini-c1,age,0,4,0,0
ben-gemini-c1,age,1,8,0,0
ben-gemini-c1,age,2,7,1,1
ben-gemini-c1,age,3,7,1,0
ben-gemini-c1,age,4,6,0,0
ben-gemini-c1,age,5,2,0,0
ben-gemini-c1,age,6,4,0,0
ben-gemini-c1,age,7,4,0,0
ben-gemini-c1,age,8,5,1,0
ben-gemini-c1,age,9,6,0,0
ben-gemini-c1,age,10,0,0,0
ben-gemini-c1,age,11,4,0,0
ben-gemini-c1,age,12,3,0,0
ben-gemini-c1,age,13,4,1,0
ben-gemini-c1,age,14,4,0,0
ben-gemini-c1,age,15,0,0,0
ben-gemini-c1,age,16,2,0,0
ben-gemini-c1,age,17,0,0,0
ben-gemini-c1,age,18,4,2,0
ben-gemini-c1,age,19,2,0,0
ben-gemini-c2,age,0,9,5,4
ben-gemini-c2,age,1,7,4,2
ben-gemini-c2,age,2,7,4,3
ben-gemini-c2,age,3,8,4,1
ben-gemini-c2,age,4,10,6,2
ben-gemini-c2,age,5,4,2,0
ben-gemini-c2,age,6,6,3,2
ben-gemini-c2,age,7,4,2,1
ben-gemini-c2,age,8,5,3,1
ben-gemini-c2,age,9,10,5,3
ben-gemini-c2,age,10,1,1,0
ben-gemini-c2,age,11,3,0,0
ben-gemini-c2,age,12,2,2,2
ben-gemini-c2,age,13,7,3,2
ben-gemini-c2,age,14,8,4,4
ben-gemini-c2,age,15,1,1,0
ben-gemini-c2,age,16,2,0,0
ben-gemini-c2,age,17,2,2,2
ben-gemini-c2,age,18,3,1,0
ben-gemini-c2,age,19,4,2,2
ben-gemini-c3,age,0,13,10,4
ben-gemini-c3,age,1,12,7,4
ben-gemini-c3,age,2,12,7,6
ben-gemini-c3,age,3,11,7,3
ben-gemini-c3,age,4,9,5,3
ben-gemini-c3,age,5,5,3,0
ben-gemini-c3,age,6,6,5,2
ben-gemini-c3,age,7,4,1,0
ben-gemini-c3,age,8,7,5,2
ben-gemini-c3,age,9,9,4,2
ben-gemini-c3,age,10,2,2,0
ben-gemini-c3,age,11,4,2,2
ben-gemini-c3,age,12,3,1,1
ben-gemini-c3,age,13,3,1,1
ben-gemini-c3,age,14,7,3,3
ben-gemini-c3,age,15,2,1,0
ben-gemini-c3,age,16,3,1,0
ben-gemini-c3,age,17,1,1,1
ben-gemini-c3,age,18,1,0,0
ben-gemini-c3,age,19,3,1,1
ben-gemini-c4,age,0,14,1,0
ben-gemini-c4,age,1,14,3,2
ben-gemini-c4,age,2,13,1,1
ben-gemini-c4,age,3,11,3,2
ben-gemini-c4,age,4,10,0,0
ben-gemini-c4,age,5,5,3,0
ben-gemini-c4,age,6,8,0,0
ben-gemini-c4,age,7,7,0,0
